source,district_name,charter_chapter,charter_url,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,has_political_bnd
epa_system,CHESTER WATER DEPT,,,VT0005318,CHESTER WATER DEPT,,unmatched_system,Y,N
epa_system,LUDLOW VILLAGE WATER DEPT,,,VT0005323,LUDLOW VILLAGE WATER DEPT,,unmatched_system,Y,N
epa_system,OKEMO VILLAGE CONDOMINIUMS,,,VT0005324,OKEMO VILLAGE CONDOMINIUMS,,unmatched_system,Y,N
epa_system,OKEMO TRAILSIDE CONDOMINIUM,,,VT0005325,OKEMO TRAILSIDE CONDOMINIUM,,unmatched_system,Y,N
epa_system,ALPEN MEADOWS,,,VT0005359,ALPEN MEADOWS,,unmatched_system,Y,N
epa_system,RHODESIDE ACRES,,,VT0005379,RHODESIDE ACRES,,unmatched_system,Y,N
epa_system,FAIRFAX FIRE DISTRICT 1,,,VT0005403,FAIRFAX FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,WARNER PLACE WATER SYSTEM,,,VT0005427,WARNER PLACE WATER SYSTEM,,unmatched_system,Y,N
epa_system,WESTFORD FIRE DISTRICT 1,,,VT0005450,WESTFORD FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,NEW ENGLAND KURN HATTIN HOMES,,,VT0005452,NEW ENGLAND KURN HATTIN HOMES,,unmatched_system,Y,N
epa_system,SHAFTSBURY WATER SYSTEM,,,VT0005469,SHAFTSBURY WATER SYSTEM,,unmatched_system,Y,N
epa_system,GORE ROAD MHP,,,VT0005471,GORE ROAD MHP,,unmatched_system,Y,N
epa_system,WILDWOOD WEST,,,VT0005513,WILDWOOD WEST,,unmatched_system,Y,N
epa_system,POWNAL FIRE DISTRICT 3,,,VT0005517,POWNAL FIRE DISTRICT 3,,unmatched_system,Y,N
epa_system,VERNON GREEN NURSING HOME,,,VT0005532,VERNON GREEN NURSING HOME,,unmatched_system,Y,N
epa_system,RUTLAND TOWN FIRE DISTRICT 1,,,VT0005534,RUTLAND TOWN FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,SUNNY ACRES DEVELOPMENT WATER ASSOC INC,,,VT0005535,SUNNY ACRES DEVELOPMENT WATER ASSOC INC,,unmatched_system,Y,N
epa_system,DOVER GREEN CONDOMINIUM,,,VT0005536,DOVER GREEN CONDOMINIUM,,unmatched_system,Y,N
epa_system,SUNTEC FOREST CONDOMINIUM,,,VT0005541,SUNTEC FOREST CONDOMINIUM,,unmatched_system,Y,N
epa_system,SNOWTREE CONDOMINIUM,,,VT0005542,SNOWTREE CONDOMINIUM,,unmatched_system,Y,N
epa_system,TARA TOWNHOUSES,,,VT0005545,TARA TOWNHOUSES,,unmatched_system,Y,N
epa_system,GEORGIA STATION,,,VT0005556,GEORGIA STATION,,unmatched_system,Y,N
epa_system,WEST WIND WATER SYSTEM,,,VT0005557,WEST WIND WATER SYSTEM,,unmatched_system,Y,N
epa_system,BENSON HEIGHTS,,,VT0005570,BENSON HEIGHTS,,unmatched_system,Y,N
epa_system,SPRING LAKE RANCH INC,,,VT0005573,SPRING LAKE RANCH INC,,unmatched_system,Y,N
epa_system,BEARS CROSSING WATER SYSTEM,,,VT0005578,BEARS CROSSING WATER SYSTEM,,unmatched_system,Y,N
epa_system,PIPER RIDGE CONDOMINIUM,,,VT0005592,PIPER RIDGE CONDOMINIUM,,unmatched_system,Y,N
epa_system,GLEN RUN CONDOMINIUM,,,VT0005600,GLEN RUN CONDOMINIUM,,unmatched_system,Y,N
epa_system,SHELBURNE FARMS,,,VT0005602,SHELBURNE FARMS,,unmatched_system,Y,N
epa_system,BULL RUN,,,VT0005609,BULL RUN,,unmatched_system,Y,N
epa_system,TIMBERCREEK CONDOMINIUM,,,VT0005615,TIMBERCREEK CONDOMINIUM,,unmatched_system,Y,N
epa_system,CHARETTE WATER SYSTEM,,,VT0005621,CHARETTE WATER SYSTEM,,unmatched_system,Y,N
epa_system,SNOW MOUNTAIN VILLAGE,,,VT0005623,SNOW MOUNTAIN VILLAGE,,unmatched_system,Y,N
epa_system,"POWNAL ESTATES MHP, LLC.",,,VT0005628,"POWNAL ESTATES MHP, LLC.",,unmatched_system,Y,N
epa_system,WINHALL ACRES,,,VT0005629,WINHALL ACRES,,unmatched_system,Y,N
epa_system,GREENSPRINGS,,,VT0005630,GREENSPRINGS,,unmatched_system,Y,N
epa_system,INTERVALE AT STRATTON,,,VT0005633,INTERVALE AT STRATTON,,unmatched_system,Y,N
epa_system,WINTERPLACE WATER SYSTEM,,,VT0005635,WINTERPLACE WATER SYSTEM,,unmatched_system,Y,N
epa_system,SEASONS ON MOUNT SNOW,,,VT0005636,SEASONS ON MOUNT SNOW,,unmatched_system,Y,N
epa_system,TUCKERVILLE MHP,,,VT0005637,TUCKERVILLE MHP,,unmatched_system,Y,N
epa_system,COLD BROOK FD BASE AREA,,,VT0005649,COLD BROOK FD BASE AREA,,unmatched_system,Y,N
